source,target,weight
avarskij,avarskij,0.0
avarskij,agul'skij,0.0
avarskij,azerbajdzhanskij,0.0
avarskij,akushinskij darginskij,0.40634005763688763
avarskij,andijskij,0.0
avarskij,ahvahskij,0.0
avarskij,bagvalinskij,0.0
avarskij,bezhtinskij,0.0
avarskij,gapshiminskij darginskij,0.0
avarskij,gdymsko-fijskij lezginskij,0.0
avarskij,ginuhskij,0.0
avarskij,kadarskij darginskij,0.0
avarskij,kajtagskij darginskij,0.0
avarskij,karatinskij,0.0
avarskij,kubachinskij darginskij,0.0
avarskij,kumykskij,0.08357348703170028
avarskij,lakskij,0.09798270893371758
avarskij,lezginskij,0.0
avarskij,megebskij,0.0
avarskij,muirinskij darginskij,0.0
avarskij,rutul'skij,0.0
avarskij,sirhinskij darginskij,0.0
avarskij,tabasaranskij,0.0
avarskij,tukitinskij,0.0
avarskij,hnovskij rutul'skij,0.0
avarskij,tsahurskij,0.0
avarskij,tsezskij,0.0
avarskij,tsudaharskij darginskij,0.3631123919308357
avarskij,chiragskij darginskij,0.0
agul'skij,avarskij,0.0
agul'skij,agul'skij,0.0
agul'skij,azerbajdzhanskij,0.18875502008032127
agul'skij,akushinskij darginskij,0.0
agul'skij,andijskij,0.0
agul'skij,ahvahskij,0.0
agul'skij,bagvalinskij,0.0
agul'skij,bezhtinskij,0.0
agul'skij,gapshiminskij darginskij,0.0
agul'skij,gdymsko-fijskij lezginskij,0.0
agul'skij,ginuhskij,0.0
agul'skij,kadarskij darginskij,0.0
agul'skij,kajtagskij darginskij,0.0
agul'skij,karatinskij,0.0
agul'skij,kubachinskij darginskij,0.0
agul'skij,kumykskij,0.0
agul'skij,lakskij,0.07630522088353414
agul'skij,lezginskij,0.7269076305220884
agul'skij,megebskij,0.0
agul'skij,muirinskij darginskij,0.0
agul'skij,rutul'skij,0.0
agul'skij,sirhinskij darginskij,0.0
agul'skij,tabasaranskij,0.0
agul'skij,tukitinskij,0.0
agul'skij,hnovskij rutul'skij,0.0
agul'skij,tsahurskij,0.0
agul'skij,tsezskij,0.0
agul'skij,tsudaharskij darginskij,0.0
agul'skij,chiragskij darginskij,0.0
azerbajdzhanskij,avarskij,0.0
azerbajdzhanskij,agul'skij,0.0
azerbajdzhanskij,azerbajdzhanskij,0.0
azerbajdzhanskij,akushinskij darginskij,0.0
azerbajdzhanskij,andijskij,0.0
azerbajdzhanskij,ahvahskij,0.0
azerbajdzhanskij,bagvalinskij,0.0
azerbajdzhanskij,bezhtinskij,0.0
azerbajdzhanskij,gapshiminskij darginskij,0.0
azerbajdzhanskij,gdymsko-fijskij lezginskij,0.0
azerbajdzhanskij,ginuhskij,0.0
azerbajdzhanskij,kadarskij darginskij,0.0
azerbajdzhanskij,kajtagskij darginskij,0.0
azerbajdzhanskij,karatinskij,0.0
azerbajdzhanskij,kubachinskij darginskij,0.0
azerbajdzhanskij,kumykskij,0.0
azerbajdzhanskij,lakskij,0.0
azerbajdzhanskij,lezginskij,0.0
azerbajdzhanskij,megebskij,0.0
azerbajdzhanskij,muirinskij darginskij,0.0
azerbajdzhanskij,rutul'skij,0.0
azerbajdzhanskij,sirhinskij darginskij,0.0
azerbajdzhanskij,tabasaranskij,0.0
azerbajdzhanskij,tukitinskij,0.0
azerbajdzhanskij,hnovskij rutul'skij,0.0
azerbajdzhanskij,tsahurskij,0.0
azerbajdzhanskij,tsezskij,0.0
azerbajdzhanskij,tsudaharskij darginskij,0.0
azerbajdzhanskij,chiragskij darginskij,0.0
akushinskij darginskij,avarskij,0.1896551724137931
akushinskij darginskij,agul'skij,0.0
akushinskij darginskij,azerbajdzhanskij,0.0
akushinskij darginskij,akushinskij darginskij,0.0
akushinskij darginskij,andijskij,0.0
akushinskij darginskij,ahvahskij,0.0
akushinskij darginskij,bagvalinskij,0.0
akushinskij darginskij,bezhtinskij,0.0
akushinskij darginskij,gapshiminskij darginskij,0.0
akushinskij darginskij,gdymsko-fijskij lezginskij,0.0
akushinskij darginskij,ginuhskij,0.0
akushinskij darginskij,kadarskij darginskij,0.0
akushinskij darginskij,kajtagskij darginskij,0.0
akushinskij darginskij,karatinskij,0.0
akushinskij darginskij,kubachinskij darginskij,0.0
akushinskij darginskij,kumykskij,0.3103448275862069
akushinskij darginskij,lakskij,0.0
akushinskij darginskij,lezginskij,0.0
akushinskij darginskij,megebskij,0.0
akushinskij darginskij,muirinskij darginskij,0.0
akushinskij darginskij,rutul'skij,0.0
akushinskij darginskij,sirhinskij darginskij,0.0
akushinskij darginskij,tabasaranskij,0.0
akushinskij darginskij,tukitinskij,0.0
akushinskij darginskij,hnovskij rutul'skij,0.0
akushinskij darginskij,tsahurskij,0.0
akushinskij darginskij,tsezskij,0.0
akushinskij darginskij,tsudaharskij darginskij,0.5
akushinskij darginskij,chiragskij darginskij,0.0
andijskij,avarskij,0.9716312056737588
andijskij,agul'skij,0.0
andijskij,azerbajdzhanskij,0.0
andijskij,akushinskij darginskij,0.0
andijskij,andijskij,0.0
andijskij,ahvahskij,0.0
andijskij,bagvalinskij,0.0
andijskij,bezhtinskij,0.0
andijskij,gapshiminskij darginskij,0.0
andijskij,gdymsko-fijskij lezginskij,0.0
andijskij,ginuhskij,0.0
andijskij,kadarskij darginskij,0.0
andijskij,kajtagskij darginskij,0.0
andijskij,karatinskij,0.0
andijskij,kubachinskij darginskij,0.0
andijskij,kumykskij,0.0
andijskij,lakskij,0.0
andijskij,lezginskij,0.0
andijskij,megebskij,0.0
andijskij,muirinskij darginskij,0.0
andijskij,rutul'skij,0.0
andijskij,sirhinskij darginskij,0.0
andijskij,tabasaranskij,0.0
andijskij,tukitinskij,0.0
andijskij,hnovskij rutul'skij,0.0
andijskij,tsahurskij,0.0
andijskij,tsezskij,0.0
andijskij,tsudaharskij darginskij,0.0
andijskij,chiragskij darginskij,0.0
ahvahskij,avarskij,0.9137931034482759
ahvahskij,agul'skij,0.0
ahvahskij,azerbajdzhanskij,0.0
ahvahskij,akushinskij darginskij,0.0
ahvahskij,andijskij,0.0
ahvahskij,ahvahskij,0.0
ahvahskij,bagvalinskij,0.0
ahvahskij,bezhtinskij,0.0
ahvahskij,gapshiminskij darginskij,0.0
ahvahskij,gdymsko-fijskij lezginskij,0.0
ahvahskij,ginuhskij,0.0
ahvahskij,kadarskij darginskij,0.0
ahvahskij,kajtagskij darginskij,0.0
ahvahskij,karatinskij,0.0
ahvahskij,kubachinskij darginskij,0.0
ahvahskij,kumykskij,0.0
ahvahskij,lakskij,0.0
ahvahskij,lezginskij,0.0
ahvahskij,megebskij,0.0
ahvahskij,muirinskij darginskij,0.0
ahvahskij,rutul'skij,0.0
ahvahskij,sirhinskij darginskij,0.0
ahvahskij,tabasaranskij,0.0
ahvahskij,tukitinskij,0.0
ahvahskij,hnovskij rutul'skij,0.0
ahvahskij,tsahurskij,0.0
